Identifier	Correct	P1 (Q1)	P1 (Q2)	P1 (Q3)	P1 (Q4)	P1 (Q5)	P1 (Q6)	P1 (Q7)	P1 (Q8)	P1 (Q9)	P1 (Q10)	P2 (Q1)	P2 (Q2)	P2 (Q3)	P2 (Q4)	P2 (Q5)	P2 (Q6)	P2 (Q7)	P2 (Q8)	P2 (Q9)	P2 (Q10)	P3 (Q1)	P3 (Q2)	P3 (Q3)	P3 (Q4)	P3 (Q5)	P3 (Q6)	P3 (Q7)	P3 (Q8)	P3 (Q9)	P3 (Q10)	P4 (Q1)	P4 (Q2)	P4 (Q3)	P4 (Q4)	P4 (Q5)	P4 (Q6)	P4 (Q7)	P4 (Q8)	P4 (Q9)	P4 (Q10)
254	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, F"		44	98	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	1	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	8	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	3	B	C	"C, E"
255	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	E	E	"A, B, D"	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"A, B, C"
256	"P1 (Q1),P1 (Q2),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, C"	b 57 myprogram.cpp	"h
l
o"	"A, B"	E	"C, D"	"A, B, C, D, E, F"		43	49	2	"A, C, D"	B	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	2	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"A, B, D"	4	4	9	4	8	B	C	"D, E"
257	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q9),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	E	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"A, B"	E	"B, C, D"	"A, B, C, E, F"		43	48	2	"C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	3	B	"A, C, D"	3	"13, 12, 15, 5, 18, 26"	2	1		"26, 21, 34, 24, 28, 54"		"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	4	B	C	C
258	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	6	"mad
mid
midterm
mind
mint"	B	4	4	8	4	7	B	C	"C, E"
259	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	E	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	8	4	4	B	C	"C, E"
260	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	D	"A, B, D"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	4	B	C	"C, E"
261	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	C	E	"B, C, D"	"B, C, D, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C, D"	3		1	2	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	25	4	4	B	C	"A, C, E"
262	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8)"	"5
3"	E	"A, B, C"	break 56	hlo	B	D	C	"A, C, F"		182	50	2	"A, C, D"	"B, C, D"	"E, C, L, B, F, A, G"	C	A	2	"A, B"	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	F	7	"MAD
MID
MIDTERM
MIND
MINT"	"A, B, C"	4	4	24	4	4	B	B	"A, C, E"
263	"P1 (Q1),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q2),P3 (Q3),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P4 (Q3),P4 (Q4),P4 (Q9)"	5 3	E	"B, C"	b 56	"h
l
o"	"A, B"	E	"B, C, D"	"B, D, F"		43	98	2	"A, C, D"	"B, C"	"E, C, L, B, F, A, G"	C	A	3	B	"A, C"	3	"13, 12, 18, 5, 15, 26"	1	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D"	5	"MAD
MID
MIND
MINT
TERM"	"C, D"	4	4	24	3	3	C	C	"C, D"
264	"P1 (Q1),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q7),P4 (Q8),P4 (Q10)"	"5
3"	D	"A, C"	break 56	"h
l
o"	"B, C"	E	"A, B, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	4	B	B	"C, E"
265	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	hlo	C	E	"B, C, D"	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"C, E"
266	"P1 (Q1),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, C"	b myprogram.cpp:57	"h
l
o"	"B, C"	E	"C, D"	"A, B, C, F"		44	49	2	"A, C, D"	B	"E, C, G, B, F, L, A"	C	A	0	B	"A, C, D"	3	"13, 12, 26, 5, 15, 18"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	12	6	8	B	C	"C, E"
267	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q10)"	"5
3"	A	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"C, D"	"A, B, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	E	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A					"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	30	4	5			"C, E"
268	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	"B, C"	D	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D, E"	7	"MAD
MID
MIDTERM
MID
MINT"	"B, D"	4	4	10	4	9	B	C	"A, C, E"
269	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q9)"	"5
3"	"A, D"	"A, B, C"	break 56	"h
l
o"	"A, B"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 24, 34, 21, 28, 54"		"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	9	4	9	C	C	"B, C, E"
270	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	C	"A, C, E"
271	"P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q8),P4 (Q9)"	"5
5"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"A, D"	"A, B, C, E, F"		44	49	2	"A, B, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	B	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"			A			"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4					B	C	"A, C, E"
272	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5 
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"A, B"	E	"B, C, D"	"A, B, C, E, F"		44	40	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	A	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	A	6	"MAD 
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	6	4	4	B	C	"A, C, E"
273	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q10)"	"5
3"	D	"A, B, C"	break 56	hlo	"B, C"	E	"B, C, D"	"A, B, D, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	B	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	10	4	9	B	E	"C, E"
274	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q10)"	"5
3"	D	"A, B, C"	b myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	B	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 30, 21, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	5	B	B	"C, E"
275	"P1 (Q3),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"		D	"A, B, C"	b 56									2	"C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	1	1	D	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	6	"mad
mid
midterm
mint
mind"	"B, C, D"	5	5	8	4	4	B	C	"C, D"
276	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	b 56	hlo	"A, B"	E	"B, C, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"C, E"
277	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D, E"	"E, C, F, B, G, A, L"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	C	"C, E"
278	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	break myprogram.cpp:56	"h
l
0"	C	C	"C, D"	"A, B, F"		44	50	2	"A, B, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	0	"A, B"	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	2	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	9	4	4	B	C	"A, D, E"
279	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:14	"h
l
o"	"B, C, D"	E	"B, C, D"	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	5	B												"B, C, D"	5	3						
280	"P1 (Q1),P1 (Q5),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q9),P3 (Q1),P3 (Q3),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	D	A	break 56	hlo	"A, B, C"	D	"B, D"	"B, D, E"		44	50	2	"A, C, D"	"B, D"	"E, C, A, B, F, G, L"	C	C	2	D	"A, C, D"	4	"13, 12, 18, 5, 15, 26"	1	1	"C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, D"	3	"MAD
MID
MIDTERM
MIND
MINT"	"A, B, D"	4	4	9	4	4	B	C	"A, C, D, E"
281	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	break 56	"h
l
o"	B	E	D	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	4	B	C	"A, B, C, E"
282	"P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
5"	E	"A, B, C"	b myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	A	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1				"A, B, C, D"	7	"MAD
MID
MIDTERM
MINT
MIND"	D	4	4	8	4		B	C	"A, C, E"
283	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, D, F"		43	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"26, 21, 34, 28, 54, 30"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	4	B	C	"C, E"
